"raceid","year","grand_prix","driverid","driver","laptimes"
171,2000,"Italian Grand Prix",57,"Mika Häkkinen","00:01:25.595"
172,2000,"United States Grand Prix",14,"David Coulthard","00:01:14.711"
173,2000,"Japanese Grand Prix",57,"Mika Häkkinen","00:01:39.189"
174,2000,"Malaysian Grand Prix",57,"Mika Häkkinen","00:01:38.543"
141,2001,"Australian Grand Prix",30,"Michael Schumacher","00:01:28.214"
142,2001,"Malaysian Grand Prix",57,"Mika Häkkinen","00:01:40.962"
143,2001,"Brazilian Grand Prix",23,"Ralf Schumacher","00:01:15.693"
144,2001,"San Marino Grand Prix",23,"Ralf Schumacher","00:01:25.524"
145,2001,"Spanish Grand Prix",30,"Michael Schumacher","00:01:21.151"
146,2001,"Austrian Grand Prix",14,"David Coulthard","00:01:10.843"
147,2001,"Monaco Grand Prix",14,"David Coulthard","00:01:19.424"
148,2001,"Canadian Grand Prix",23,"Ralf Schumacher","00:01:17.205"
149,2001,"European Grand Prix",31,"Juan Pablo Montoya","00:01:18.354"
150,2001,"French Grand Prix",14,"David Coulthard","00:01:16.088"
151,2001,"British Grand Prix",57,"Mika Häkkinen","00:01:23.405"
152,2001,"German Grand Prix",31,"Juan Pablo Montoya","00:01:41.808"
153,2001,"Hungarian Grand Prix",57,"Mika Häkkinen","00:01:16.723"
154,2001,"Belgian Grand Prix",30,"Michael Schumacher","00:01:49.758"
155,2001,"Italian Grand Prix",23,"Ralf Schumacher","00:01:25.073"
156,2001,"United States Grand Prix",31,"Juan Pablo Montoya","00:01:14.448"
157,2001,"Japanese Grand Prix",31,"Juan Pablo Montoya","00:01:36.45"
124,2002,"Australian Grand Prix",8,"Kimi Räikkönen","00:01:28.541"
125,2002,"Malaysian Grand Prix",31,"Juan Pablo Montoya","00:01:38.049"
126,2002,"Brazilian Grand Prix",31,"Juan Pablo Montoya","00:01:16.079"
127,2002,"San Marino Grand Prix",22,"Rubens Barrichello","00:01:24.17"
128,2002,"Spanish Grand Prix",30,"Michael Schumacher","00:01:20.355"
129,2002,"Austrian Grand Prix",30,"Michael Schumacher","00:01:09.298"
130,2002,"Monaco Grand Prix",22,"Rubens Barrichello","00:01:18.023"
131,2002,"Canadian Grand Prix",31,"Juan Pablo Montoya","00:01:15.96"
132,2002,"European Grand Prix",30,"Michael Schumacher","00:01:32.226"
133,2002,"British Grand Prix",22,"Rubens Barrichello","00:01:23.083"
134,2002,"French Grand Prix",14,"David Coulthard","00:01:15.045"
135,2002,"German Grand Prix",30,"Michael Schumacher","00:01:16.462"
136,2002,"Hungarian Grand Prix",30,"Michael Schumacher","00:01:16.207"
137,2002,"Belgian Grand Prix",30,"Michael Schumacher","00:01:47.176"
138,2002,"Italian Grand Prix",22,"Rubens Barrichello","00:01:23.657"
139,2002,"United States Grand Prix",22,"Rubens Barrichello","00:01:12.738"
140,2002,"Japanese Grand Prix",30,"Michael Schumacher","00:01:36.125"
108,2003,"Australian Grand Prix",8,"Kimi Räikkönen","00:01:27.724"
109,2003,"Malaysian Grand Prix",30,"Michael Schumacher","00:01:36.412"
110,2003,"Brazilian Grand Prix",22,"Rubens Barrichello","00:01:22.032"
111,2003,"San Marino Grand Prix",30,"Michael Schumacher","00:01:22.491"
112,2003,"Spanish Grand Prix",22,"Rubens Barrichello","00:01:20.143"
113,2003,"Austrian Grand Prix",30,"Michael Schumacher","00:01:08.337"
114,2003,"Monaco Grand Prix",8,"Kimi Räikkönen","00:01:14.545"
115,2003,"Canadian Grand Prix",4,"Fernando Alonso","00:01:16.04"
116,2003,"European Grand Prix",8,"Kimi Räikkönen","00:01:32.621"
117,2003,"French Grand Prix",31,"Juan Pablo Montoya","00:01:15.512"
118,2003,"British Grand Prix",22,"Rubens Barrichello","00:01:22.236"
119,2003,"German Grand Prix",31,"Juan Pablo Montoya","00:01:14.917"
120,2003,"Hungarian Grand Prix",31,"Juan Pablo Montoya","00:01:22.095"
121,2003,"Italian Grand Prix",30,"Michael Schumacher","00:01:21.832"
122,2003,"United States Grand Prix",30,"Michael Schumacher","00:01:11.473"
123,2003,"Japanese Grand Prix",23,"Ralf Schumacher","00:01:33.408"
90,2004,"Australian Grand Prix",30,"Michael Schumacher","00:01:24.125"
91,2004,"Malaysian Grand Prix",31,"Juan Pablo Montoya","00:01:34.223"
92,2004,"Bahrain Grand Prix",30,"Michael Schumacher","00:01:30.252"
93,2004,"San Marino Grand Prix",30,"Michael Schumacher","00:01:20.411"
94,2004,"Spanish Grand Prix",30,"Michael Schumacher","00:01:17.45"
95,2004,"Monaco Grand Prix",30,"Michael Schumacher","00:01:14.439"
96,2004,"European Grand Prix",30,"Michael Schumacher","00:01:29.468"
97,2004,"Canadian Grand Prix",22,"Rubens Barrichello","00:01:13.622"
98,2004,"United States Grand Prix",22,"Rubens Barrichello","00:01:10.399"
99,2004,"French Grand Prix",30,"Michael Schumacher","00:01:15.377"
100,2004,"British Grand Prix",30,"Michael Schumacher","00:01:18.739"
101,2004,"German Grand Prix",8,"Kimi Räikkönen","00:01:13.78"
102,2004,"Hungarian Grand Prix",30,"Michael Schumacher","00:01:19.071"
103,2004,"Belgian Grand Prix",8,"Kimi Räikkönen","00:01:45.108"
104,2004,"Italian Grand Prix",22,"Rubens Barrichello","00:01:21.046"
105,2004,"Chinese Grand Prix",30,"Michael Schumacher","00:01:32.238"
106,2004,"Japanese Grand Prix",22,"Rubens Barrichello","00:01:32.73"
107,2004,"Brazilian Grand Prix",31,"Juan Pablo Montoya","00:01:11.473"
71,2005,"Australian Grand Prix",4,"Fernando Alonso","00:01:25.683"
72,2005,"Malaysian Grand Prix",8,"Kimi Räikkönen","00:01:35.483"
73,2005,"Bahrain Grand Prix",37,"Pedro de la Rosa","00:01:31.447"
74,2005,"San Marino Grand Prix",30,"Michael Schumacher","00:01:21.858"
75,2005,"Spanish Grand Prix",21,"Giancarlo Fisichella","00:01:15.641"
76,2005,"Monaco Grand Prix",30,"Michael Schumacher","00:01:15.842"
77,2005,"European Grand Prix",4,"Fernando Alonso","00:01:30.711"
78,2005,"Canadian Grand Prix",8,"Kimi Räikkönen","00:01:14.384"
79,2005,"United States Grand Prix",30,"Michael Schumacher","00:01:11.497"
80,2005,"French Grand Prix",8,"Kimi Räikkönen","00:01:16.423"
81,2005,"British Grand Prix",8,"Kimi Räikkönen","00:01:20.502"
82,2005,"German Grand Prix",8,"Kimi Räikkönen","00:01:14.873"
83,2005,"Hungarian Grand Prix",8,"Kimi Räikkönen","00:01:21.219"
84,2005,"Turkish Grand Prix",31,"Juan Pablo Montoya","00:01:24.77"
85,2005,"Italian Grand Prix",8,"Kimi Räikkönen","00:01:21.504"
86,2005,"Belgian Grand Prix",23,"Ralf Schumacher","00:01:51.453"
87,2005,"Brazilian Grand Prix",8,"Kimi Räikkönen","00:01:12.268"
88,2005,"Japanese Grand Prix",8,"Kimi Räikkönen","00:01:31.54"
89,2005,"Chinese Grand Prix",8,"Kimi Räikkönen","00:01:33.242"
53,2006,"Bahrain Grand Prix",3,"Nico Rosberg","00:01:32.408"
54,2006,"Malaysian Grand Prix",4,"Fernando Alonso","00:01:34.803"
55,2006,"Australian Grand Prix",8,"Kimi Räikkönen","00:01:26.045"
56,2006,"San Marino Grand Prix",4,"Fernando Alonso","00:01:24.569"
57,2006,"European Grand Prix",30,"Michael Schumacher","00:01:32.099"
58,2006,"Spanish Grand Prix",13,"Felipe Massa","00:01:16.648"
59,2006,"Monaco Grand Prix",30,"Michael Schumacher","00:01:15.143"
60,2006,"British Grand Prix",4,"Fernando Alonso","00:01:21.599"
61,2006,"Canadian Grand Prix",8,"Kimi Räikkönen","00:01:15.841"
62,2006,"United States Grand Prix",30,"Michael Schumacher","00:01:12.719"
63,2006,"French Grand Prix",30,"Michael Schumacher","00:01:17.111"
64,2006,"German Grand Prix",30,"Michael Schumacher","00:01:16.357"
65,2006,"Hungarian Grand Prix",13,"Felipe Massa","00:01:23.516"
66,2006,"Turkish Grand Prix",30,"Michael Schumacher","00:01:28.005"
67,2006,"Italian Grand Prix",8,"Kimi Räikkönen","00:01:22.559"
68,2006,"Chinese Grand Prix",4,"Fernando Alonso","00:01:37.586"
69,2006,"Japanese Grand Prix",4,"Fernando Alonso","00:01:32.676"
70,2006,"Brazilian Grand Prix",30,"Michael Schumacher","00:01:12.162"
36,2007,"Australian Grand Prix",8,"Kimi Räikkönen","00:01:25.235"
37,2007,"Malaysian Grand Prix",1,"Lewis Hamilton","00:01:36.701"
38,2007,"Bahrain Grand Prix",13,"Felipe Massa","00:01:34.067"
39,2007,"Spanish Grand Prix",13,"Felipe Massa","00:01:22.68"
40,2007,"Monaco Grand Prix",4,"Fernando Alonso","00:01:15.284"
41,2007,"Canadian Grand Prix",4,"Fernando Alonso","00:01:16.367"
42,2007,"United States Grand Prix",8,"Kimi Räikkönen","00:01:13.117"
43,2007,"French Grand Prix",13,"Felipe Massa","00:01:16.099"
44,2007,"British Grand Prix",8,"Kimi Räikkönen","00:01:20.638"
45,2007,"European Grand Prix",13,"Felipe Massa","00:01:32.853"
46,2007,"Hungarian Grand Prix",8,"Kimi Räikkönen","00:01:20.047"
47,2007,"Turkish Grand Prix",8,"Kimi Räikkönen","00:01:27.295"
48,2007,"Italian Grand Prix",4,"Fernando Alonso","00:01:22.871"
49,2007,"Belgian Grand Prix",13,"Felipe Massa","00:01:48.036"
50,2007,"Japanese Grand Prix",1,"Lewis Hamilton","00:01:28.193"
51,2007,"Chinese Grand Prix",13,"Felipe Massa","00:01:37.454"
52,2007,"Brazilian Grand Prix",8,"Kimi Räikkönen","00:01:12.445"
18,2008,"Australian Grand Prix",5,"Heikki Kovalainen","00:01:27.418"
19,2008,"Malaysian Grand Prix",2,"Nick Heidfeld","00:01:35.366"
20,2008,"Bahrain Grand Prix",5,"Heikki Kovalainen","00:01:33.193"
21,2008,"Spanish Grand Prix",8,"Kimi Räikkönen","00:01:21.67"
22,2008,"Turkish Grand Prix",8,"Kimi Räikkönen","00:01:26.506"
23,2008,"Monaco Grand Prix",8,"Kimi Räikkönen","00:01:16.689"
24,2008,"Canadian Grand Prix",8,"Kimi Räikkönen","00:01:17.387"
25,2008,"French Grand Prix",8,"Kimi Räikkönen","00:01:16.63"
26,2008,"British Grand Prix",8,"Kimi Räikkönen","00:01:32.15"
27,2008,"German Grand Prix",2,"Nick Heidfeld","00:01:15.987"
28,2008,"Hungarian Grand Prix",8,"Kimi Räikkönen","00:01:21.195"
29,2008,"European Grand Prix",13,"Felipe Massa","00:01:38.708"
30,2008,"Belgian Grand Prix",8,"Kimi Räikkönen","00:01:47.93"
31,2008,"Italian Grand Prix",8,"Kimi Räikkönen","00:01:28.047"
32,2008,"Singapore Grand Prix",8,"Kimi Räikkönen","00:01:45.599"
33,2008,"Japanese Grand Prix",13,"Felipe Massa","00:01:18.426"
34,2008,"Chinese Grand Prix",1,"Lewis Hamilton","00:01:36.325"
35,2008,"Brazilian Grand Prix",13,"Felipe Massa","00:01:13.736"
1,2009,"Australian Grand Prix",3,"Nico Rosberg","00:01:27.706"
2,2009,"Malaysian Grand Prix",18,"Jenson Button","00:01:36.641"
3,2009,"Chinese Grand Prix",22,"Rubens Barrichello","00:01:52.592"
4,2009,"Bahrain Grand Prix",15,"Jarno Trulli","00:01:34.556"
5,2009,"Spanish Grand Prix",22,"Rubens Barrichello","00:01:22.762"
6,2009,"Monaco Grand Prix",13,"Felipe Massa","00:01:15.154"
7,2009,"Turkish Grand Prix",18,"Jenson Button","00:01:27.579"
8,2009,"British Grand Prix",20,"Sebastian Vettel","00:01:20.735"
9,2009,"German Grand Prix",4,"Fernando Alonso","00:01:33.365"
10,2009,"Hungarian Grand Prix",17,"Mark Webber","00:01:21.931"
11,2009,"European Grand Prix",10,"Timo Glock","00:01:38.683"
12,2009,"Belgian Grand Prix",20,"Sebastian Vettel","00:01:47.263"
13,2009,"Italian Grand Prix",16,"Adrian Sutil","00:01:24.739"
14,2009,"Singapore Grand Prix",4,"Fernando Alonso","00:01:48.24"
15,2009,"Japanese Grand Prix",17,"Mark Webber","00:01:32.569"
16,2009,"Brazilian Grand Prix",17,"Mark Webber","00:01:13.733"
17,2009,"Abu Dhabi Grand Prix",20,"Sebastian Vettel","00:01:40.279"
337,2010,"Bahrain Grand Prix",4,"Fernando Alonso","00:01:58.287"
338,2010,"Australian Grand Prix",17,"Mark Webber","00:01:28.358"
339,2010,"Malaysian Grand Prix",17,"Mark Webber","00:01:37.054"
340,2010,"Chinese Grand Prix",1,"Lewis Hamilton","00:01:42.061"
341,2010,"Spanish Grand Prix",1,"Lewis Hamilton","00:01:24.357"
342,2010,"Monaco Grand Prix",20,"Sebastian Vettel","00:01:15.192"
343,2010,"Turkish Grand Prix",808,"Vitaly Petrov","00:01:29.165"
344,2010,"Canadian Grand Prix",9,"Robert Kubica","00:01:16.972"
345,2010,"European Grand Prix",18,"Jenson Button","00:01:38.766"
346,2010,"British Grand Prix",4,"Fernando Alonso","00:01:30.874"
347,2010,"German Grand Prix",20,"Sebastian Vettel","00:01:15.824"
348,2010,"Hungarian Grand Prix",20,"Sebastian Vettel","00:01:22.362"
349,2010,"Belgian Grand Prix",1,"Lewis Hamilton","00:01:49.069"
350,2010,"Italian Grand Prix",4,"Fernando Alonso","00:01:24.139"
351,2010,"Singapore Grand Prix",4,"Fernando Alonso","00:01:47.976"
352,2010,"Japanese Grand Prix",17,"Mark Webber","00:01:33.474"
353,2010,"Korean Grand Prix",4,"Fernando Alonso","00:01:50.257"
354,2010,"Brazilian Grand Prix",1,"Lewis Hamilton","00:01:13.851"
355,2010,"Abu Dhabi Grand Prix",1,"Lewis Hamilton","00:01:41.274"
841,2011,"Australian Grand Prix",13,"Felipe Massa","00:01:28.947"
842,2011,"Malaysian Grand Prix",17,"Mark Webber","00:01:40.571"
843,2011,"Chinese Grand Prix",17,"Mark Webber","00:01:38.993"
844,2011,"Turkish Grand Prix",17,"Mark Webber","00:01:29.703"
845,2011,"Spanish Grand Prix",1,"Lewis Hamilton","00:01:26.727"
846,2011,"Monaco Grand Prix",17,"Mark Webber","00:01:16.234"
847,2011,"Canadian Grand Prix",18,"Jenson Button","00:01:16.956"
848,2011,"European Grand Prix",20,"Sebastian Vettel","00:01:41.852"
849,2011,"British Grand Prix",4,"Fernando Alonso","00:01:33.391"
850,2011,"German Grand Prix",1,"Lewis Hamilton","00:01:34.302"
851,2011,"Hungarian Grand Prix",13,"Felipe Massa","00:01:23.415"
852,2011,"Belgian Grand Prix",17,"Mark Webber","00:01:49.883"
853,2011,"Italian Grand Prix",1,"Lewis Hamilton","00:01:26.187"
854,2011,"Singapore Grand Prix",18,"Jenson Button","00:01:48.454"
855,2011,"Japanese Grand Prix",18,"Jenson Button","00:01:36.568"
856,2011,"Korean Grand Prix",20,"Sebastian Vettel","00:01:39.605"
857,2011,"Indian Grand Prix",20,"Sebastian Vettel","00:01:27.249"
858,2011,"Abu Dhabi Grand Prix",17,"Mark Webber","00:01:42.612"
859,2011,"Brazilian Grand Prix",17,"Mark Webber","00:01:15.324"
860,2012,"Australian Grand Prix",18,"Jenson Button","00:01:29.187"
861,2012,"Malaysian Grand Prix",8,"Kimi Räikkönen","00:01:40.722"
862,2012,"Chinese Grand Prix",155,"Kamui Kobayashi","00:01:39.96"
863,2012,"Bahrain Grand Prix",20,"Sebastian Vettel","00:01:36.379"
864,2012,"Spanish Grand Prix",154,"Romain Grosjean","00:01:26.25"
865,2012,"Monaco Grand Prix",815,"Sergio Pérez","00:01:17.296"
866,2012,"Canadian Grand Prix",20,"Sebastian Vettel","00:01:15.752"
867,2012,"European Grand Prix",3,"Nico Rosberg","00:01:42.163"
868,2012,"British Grand Prix",155,"Kamui Kobayashi","00:01:34.608"
869,2012,"German Grand Prix",30,"Michael Schumacher","00:01:18.725"
870,2012,"Hungarian Grand Prix",20,"Sebastian Vettel","00:01:24.136"
871,2012,"Belgian Grand Prix",811,"Bruno Senna","00:01:52.822"
872,2012,"Italian Grand Prix",3,"Nico Rosberg","00:01:27.239"
873,2012,"Singapore Grand Prix",807,"Nico Hülkenberg","00:01:51.033"
874,2012,"Japanese Grand Prix",20,"Sebastian Vettel","00:01:35.774"
875,2012,"Korean Grand Prix",17,"Mark Webber","00:01:42.037"
876,2012,"Indian Grand Prix",18,"Jenson Button","00:01:28.203"
877,2012,"Abu Dhabi Grand Prix",20,"Sebastian Vettel","00:01:43.964"
878,2012,"United States Grand Prix",20,"Sebastian Vettel","00:01:39.347"
879,2012,"Brazilian Grand Prix",1,"Lewis Hamilton","00:01:18.069"
880,2013,"Australian Grand Prix",8,"Kimi Räikkönen","00:01:29.274"
881,2013,"Malaysian Grand Prix",815,"Sergio Pérez","00:01:39.199"
882,2013,"Chinese Grand Prix",20,"Sebastian Vettel","00:01:36.808"
883,2013,"Bahrain Grand Prix",20,"Sebastian Vettel","00:01:36.961"
884,2013,"Spanish Grand Prix",821,"Esteban Gutiérrez","00:01:26.217"
885,2013,"Monaco Grand Prix",20,"Sebastian Vettel","00:01:16.577"
886,2013,"Canadian Grand Prix",17,"Mark Webber","00:01:16.182"
887,2013,"British Grand Prix",17,"Mark Webber","00:01:33.401"
888,2013,"German Grand Prix",4,"Fernando Alonso","00:01:33.468"
890,2013,"Hungarian Grand Prix",17,"Mark Webber","00:01:24.069"
891,2013,"Belgian Grand Prix",20,"Sebastian Vettel","00:01:50.756"
892,2013,"Italian Grand Prix",1,"Lewis Hamilton","00:01:25.849"
893,2013,"Singapore Grand Prix",20,"Sebastian Vettel","00:01:48.574"
894,2013,"Korean Grand Prix",20,"Sebastian Vettel","00:01:41.38"
895,2013,"Japanese Grand Prix",17,"Mark Webber","00:01:34.587"
896,2013,"Indian Grand Prix",8,"Kimi Räikkönen","00:01:27.679"
897,2013,"Abu Dhabi Grand Prix",4,"Fernando Alonso","00:01:43.434"
898,2013,"United States Grand Prix",20,"Sebastian Vettel","00:01:39.856"
899,2013,"Brazilian Grand Prix",17,"Mark Webber","00:01:15.436"
900,2014,"Australian Grand Prix",3,"Nico Rosberg","00:01:32.478"
901,2014,"Malaysian Grand Prix",1,"Lewis Hamilton","00:01:43.066"
902,2014,"Bahrain Grand Prix",3,"Nico Rosberg","00:01:37.02"
903,2014,"Chinese Grand Prix",3,"Nico Rosberg","00:01:40.402"
904,2014,"Spanish Grand Prix",20,"Sebastian Vettel","00:01:28.918"
905,2014,"Monaco Grand Prix",8,"Kimi Räikkönen","00:01:18.479"
906,2014,"Canadian Grand Prix",13,"Felipe Massa","00:01:18.504"
907,2014,"Austrian Grand Prix",815,"Sergio Pérez","00:01:12.142"
908,2014,"British Grand Prix",1,"Lewis Hamilton","00:01:37.176"
909,2014,"German Grand Prix",1,"Lewis Hamilton","00:01:19.908"
910,2014,"Hungarian Grand Prix",3,"Nico Rosberg","00:01:25.724"
911,2014,"Belgian Grand Prix",3,"Nico Rosberg","00:01:50.511"
912,2014,"Italian Grand Prix",1,"Lewis Hamilton","00:01:28.004"
913,2014,"Singapore Grand Prix",1,"Lewis Hamilton","00:01:50.417"
914,2014,"Japanese Grand Prix",1,"Lewis Hamilton","00:01:51.6"
915,2014,"Russian Grand Prix",822,"Valtteri Bottas","00:01:40.896"
916,2014,"United States Grand Prix",20,"Sebastian Vettel","00:01:41.379"
917,2014,"Brazilian Grand Prix",1,"Lewis Hamilton","00:01:13.555"
918,2014,"Abu Dhabi Grand Prix",817,"Daniel Ricciardo","00:01:44.496"
926,2015,"Australian Grand Prix",1,"Lewis Hamilton","00:01:30.945"
927,2015,"Malaysian Grand Prix",3,"Nico Rosberg","00:01:42.062"
928,2015,"Chinese Grand Prix",1,"Lewis Hamilton","00:01:42.208"
929,2015,"Bahrain Grand Prix",8,"Kimi Räikkönen","00:01:36.311"
930,2015,"Spanish Grand Prix",1,"Lewis Hamilton","00:01:28.27"
931,2015,"Monaco Grand Prix",817,"Daniel Ricciardo","00:01:18.063"
932,2015,"Canadian Grand Prix",8,"Kimi Räikkönen","00:01:16.987"
933,2015,"Austrian Grand Prix",3,"Nico Rosberg","00:01:11.235"
934,2015,"British Grand Prix",822,"Valtteri Bottas","00:01:36.61"
936,2015,"Hungarian Grand Prix",817,"Daniel Ricciardo","00:01:24.821"
937,2015,"Belgian Grand Prix",3,"Nico Rosberg","00:01:52.416"
938,2015,"Italian Grand Prix",1,"Lewis Hamilton","00:01:26.672"
939,2015,"Singapore Grand Prix",817,"Daniel Ricciardo","00:01:50.041"
940,2015,"Japanese Grand Prix",1,"Lewis Hamilton","00:01:36.145"
941,2015,"Russian Grand Prix",20,"Sebastian Vettel","00:01:40.071"
942,2015,"United States Grand Prix",3,"Nico Rosberg","00:01:40.666"
943,2015,"Mexican Grand Prix",3,"Nico Rosberg","00:01:20.521"
944,2015,"Brazilian Grand Prix",1,"Lewis Hamilton","00:01:14.832"
945,2015,"Abu Dhabi Grand Prix",1,"Lewis Hamilton","00:01:44.517"
948,2016,"Australian Grand Prix",817,"Daniel Ricciardo","00:01:28.997"
949,2016,"Bahrain Grand Prix",3,"Nico Rosberg","00:01:34.482"
950,2016,"Chinese Grand Prix",807,"Nico Hülkenberg","00:01:39.824"
951,2016,"Russian Grand Prix",3,"Nico Rosberg","00:01:39.094"
952,2016,"Spanish Grand Prix",826,"Daniil Kvyat","00:01:26.948"
953,2016,"Monaco Grand Prix",1,"Lewis Hamilton","00:01:17.939"
954,2016,"Canadian Grand Prix",3,"Nico Rosberg","00:01:15.599"
955,2016,"European Grand Prix",3,"Nico Rosberg","00:01:46.485"
956,2016,"Austrian Grand Prix",1,"Lewis Hamilton","00:01:08.411"
957,2016,"British Grand Prix",3,"Nico Rosberg","00:01:35.548"
958,2016,"Hungarian Grand Prix",8,"Kimi Räikkönen","00:01:23.086"
959,2016,"German Grand Prix",817,"Daniel Ricciardo","00:01:18.442"
