"raceid","year","grand_prix","country","driverid","driver","nationality"
806,1954,"Italian Grand Prix","Italy",579,"Juan Fangio","Argentina"
807,1954,"Spanish Grand Prix","Spain",578,"Mike Hawthorn","UK"
793,1955,"Monaco Grand Prix","Monaco",427,"Maurice Trintignant","France"
795,1955,"Belgian Grand Prix","Belgium",579,"Juan Fangio","Argentina"
796,1955,"Dutch Grand Prix","Netherlands",579,"Juan Fangio","Argentina"
798,1955,"Italian Grand Prix","Italy",579,"Juan Fangio","Argentina"
784,1956,"Argentine Grand Prix","Argentina",577,"Luigi Musso","Italy"
785,1956,"Monaco Grand Prix","Monaco",475,"Stirling Moss","UK"
787,1956,"Belgian Grand Prix","Belgium",581,"Peter Collins","UK"
788,1956,"French Grand Prix","France",581,"Peter Collins","UK"
789,1956,"British Grand Prix","UK",579,"Juan Fangio","Argentina"
790,1956,"German Grand Prix","Germany",579,"Juan Fangio","Argentina"
791,1956,"Italian Grand Prix","Italy",475,"Stirling Moss","UK"
777,1957,"Monaco Grand Prix","Monaco",579,"Juan Fangio","Argentina"
779,1957,"French Grand Prix","France",579,"Juan Fangio","Argentina"
781,1957,"German Grand Prix","Germany",579,"Juan Fangio","Argentina"
782,1957,"Pescara Grand Prix","Italy",475,"Stirling Moss","UK"
783,1957,"Italian Grand Prix","Italy",475,"Stirling Moss","UK"
765,1958,"Argentine Grand Prix","Argentina",475,"Stirling Moss","UK"
766,1958,"Monaco Grand Prix","Monaco",427,"Maurice Trintignant","France"
767,1958,"Dutch Grand Prix","Netherlands",475,"Stirling Moss","UK"
769,1958,"Belgian Grand Prix","Belgium",479,"Tony Brooks","UK"
770,1958,"French Grand Prix","France",578,"Mike Hawthorn","UK"
772,1958,"German Grand Prix","Germany",479,"Tony Brooks","UK"
773,1958,"Portuguese Grand Prix","Portugal",475,"Stirling Moss","UK"
774,1958,"Italian Grand Prix","Italy",479,"Tony Brooks","UK"
775,1958,"Moroccan Grand Prix","Morocco",475,"Stirling Moss","UK"
756,1959,"Monaco Grand Prix","Monaco",356,"Jack Brabham","Australia"
758,1959,"Dutch Grand Prix","Netherlands",347,"Jo Bonnier","Sweden"
759,1959,"French Grand Prix","France",479,"Tony Brooks","UK"
760,1959,"British Grand Prix","UK",356,"Jack Brabham","Australia"
761,1959,"German Grand Prix","Germany",479,"Tony Brooks","UK"
762,1959,"Portuguese Grand Prix","Portugal",475,"Stirling Moss","UK"
763,1959,"Italian Grand Prix","Italy",475,"Stirling Moss","UK"
764,1959,"United States Grand Prix","USA",360,"Bruce McLaren","New Zealand"
746,1960,"Argentine Grand Prix","Argentina",360,"Bruce McLaren","New Zealand"
747,1960,"Monaco Grand Prix","Monaco",475,"Stirling Moss","UK"
749,1960,"Dutch Grand Prix","Netherlands",356,"Jack Brabham","Australia"
750,1960,"Belgian Grand Prix","Belgium",356,"Jack Brabham","Australia"
751,1960,"French Grand Prix","France",356,"Jack Brabham","Australia"
752,1960,"British Grand Prix","UK",356,"Jack Brabham","Australia"
753,1960,"Portuguese Grand Prix","Portugal",356,"Jack Brabham","Australia"
754,1960,"Italian Grand Prix","Italy",403,"Phil Hill","USA"
755,1960,"United States Grand Prix","USA",475,"Stirling Moss","UK"
738,1961,"Monaco Grand Prix","Monaco",475,"Stirling Moss","UK"
739,1961,"Dutch Grand Prix","Netherlands",476,"Wolfgang von Trips","Germany"
740,1961,"Belgian Grand Prix","Belgium",403,"Phil Hill","USA"
741,1961,"French Grand Prix","France",394,"Giancarlo Baghetti","Italy"
742,1961,"British Grand Prix","UK",476,"Wolfgang von Trips","Germany"
743,1961,"German Grand Prix","Germany",475,"Stirling Moss","UK"
744,1961,"Italian Grand Prix","Italy",403,"Phil Hill","USA"
745,1961,"United States Grand Prix","USA",404,"Innes Ireland","UK"
729,1962,"Dutch Grand Prix","Netherlands",289,"Graham Hill","UK"
730,1962,"Monaco Grand Prix","Monaco",360,"Bruce McLaren","New Zealand"
731,1962,"Belgian Grand Prix","Belgium",373,"Jim Clark","UK"
732,1962,"French Grand Prix","France",364,"Dan Gurney","USA"
734,1962,"German Grand Prix","Germany",289,"Graham Hill","UK"
735,1962,"Italian Grand Prix","Italy",289,"Graham Hill","UK"
736,1962,"United States Grand Prix","USA",373,"Jim Clark","UK"
737,1962,"South African Grand Prix","South Africa",289,"Graham Hill","UK"
719,1963,"Monaco Grand Prix","Monaco",289,"Graham Hill","UK"
720,1963,"Belgian Grand Prix","Belgium",373,"Jim Clark","UK"
721,1963,"Dutch Grand Prix","Netherlands",373,"Jim Clark","UK"
722,1963,"French Grand Prix","France",373,"Jim Clark","UK"
724,1963,"German Grand Prix","Germany",341,"John Surtees","UK"
725,1963,"Italian Grand Prix","Italy",373,"Jim Clark","UK"
726,1963,"United States Grand Prix","USA",289,"Graham Hill","UK"
727,1963,"Mexican Grand Prix","Mexico",373,"Jim Clark","UK"
728,1963,"South African Grand Prix","South Africa",373,"Jim Clark","UK"
709,1964,"Monaco Grand Prix","Monaco",289,"Graham Hill","UK"
710,1964,"Dutch Grand Prix","Netherlands",373,"Jim Clark","UK"
711,1964,"Belgian Grand Prix","Belgium",373,"Jim Clark","UK"
712,1964,"French Grand Prix","France",364,"Dan Gurney","USA"
714,1964,"German Grand Prix","Germany",341,"John Surtees","UK"
715,1964,"Austrian Grand Prix","Austria",385,"Lorenzo Bandini","Italy"
716,1964,"Italian Grand Prix","Italy",341,"John Surtees","UK"
717,1964,"United States Grand Prix","USA",289,"Graham Hill","UK"
718,1964,"Mexican Grand Prix","Mexico",364,"Dan Gurney","USA"
699,1965,"South African Grand Prix","South Africa",373,"Jim Clark","UK"
700,1965,"Monaco Grand Prix","Monaco",289,"Graham Hill","UK"
701,1965,"Belgian Grand Prix","Belgium",373,"Jim Clark","UK"
702,1965,"French Grand Prix","France",373,"Jim Clark","UK"
704,1965,"Dutch Grand Prix","Netherlands",373,"Jim Clark","UK"
705,1965,"German Grand Prix","Germany",373,"Jim Clark","UK"
706,1965,"Italian Grand Prix","Italy",328,"Jackie Stewart","UK"
707,1965,"United States Grand Prix","USA",289,"Graham Hill","UK"
708,1965,"Mexican Grand Prix","Mexico",386,"Richie Ginther","USA"
690,1966,"Monaco Grand Prix","Monaco",328,"Jackie Stewart","UK"
691,1966,"Belgian Grand Prix","Belgium",341,"John Surtees","UK"
692,1966,"French Grand Prix","France",356,"Jack Brabham","Australia"
693,1966,"British Grand Prix","UK",356,"Jack Brabham","Australia"
694,1966,"Dutch Grand Prix","Netherlands",356,"Jack Brabham","Australia"
695,1966,"German Grand Prix","Germany",356,"Jack Brabham","Australia"
697,1966,"United States Grand Prix","USA",373,"Jim Clark","UK"
698,1966,"Mexican Grand Prix","Mexico",341,"John Surtees","UK"
679,1967,"South African Grand Prix","South Africa",345,"Pedro Rodríguez","Mexican"
680,1967,"Monaco Grand Prix","Monaco",304,"Denny Hulme","New Zealand"
681,1967,"Dutch Grand Prix","Netherlands",373,"Jim Clark","UK"
682,1967,"Belgian Grand Prix","Belgium",364,"Dan Gurney","USA"
683,1967,"French Grand Prix","France",356,"Jack Brabham","Australia"
685,1967,"German Grand Prix","Germany",304,"Denny Hulme","New Zealand"
686,1967,"Canadian Grand Prix","Canada",356,"Jack Brabham","Australia"
687,1967,"Italian Grand Prix","Italy",341,"John Surtees","UK"
688,1967,"United States Grand Prix","USA",373,"Jim Clark","UK"
689,1967,"Mexican Grand Prix","Mexico",373,"Jim Clark","UK"
667,1968,"South African Grand Prix","South Africa",373,"Jim Clark","UK"
668,1968,"Spanish Grand Prix","Spain",289,"Graham Hill","UK"
669,1968,"Monaco Grand Prix","Monaco",289,"Graham Hill","UK"
670,1968,"Belgian Grand Prix","Belgium",360,"Bruce McLaren","New Zealand"
671,1968,"Dutch Grand Prix","Netherlands",328,"Jackie Stewart","UK"
672,1968,"French Grand Prix","France",235,"Jacky Ickx","Belgium"
673,1968,"British Grand Prix","UK",346,"Jo Siffert","Switzerland"
674,1968,"German Grand Prix","Germany",328,"Jackie Stewart","UK"
675,1968,"Italian Grand Prix","Italy",304,"Denny Hulme","New Zealand"
676,1968,"Canadian Grand Prix","Canada",304,"Denny Hulme","New Zealand"
677,1968,"United States Grand Prix","USA",328,"Jackie Stewart","UK"
678,1968,"Mexican Grand Prix","Mexico",289,"Graham Hill","UK"
656,1969,"South African Grand Prix","South Africa",328,"Jackie Stewart","UK"
657,1969,"Spanish Grand Prix","Spain",328,"Jackie Stewart","UK"
658,1969,"Monaco Grand Prix","Monaco",289,"Graham Hill","UK"
659,1969,"Dutch Grand Prix","Netherlands",328,"Jackie Stewart","UK"
660,1969,"French Grand Prix","France",328,"Jackie Stewart","UK"
662,1969,"German Grand Prix","Germany",235,"Jacky Ickx","Belgium"
663,1969,"Italian Grand Prix","Italy",328,"Jackie Stewart","UK"
664,1969,"Canadian Grand Prix","Canada",235,"Jacky Ickx","Belgium"
665,1969,"United States Grand Prix","USA",358,"Jochen Rindt","Austria"
666,1969,"Mexican Grand Prix","Mexico",304,"Denny Hulme","New Zealand"
643,1970,"South African Grand Prix","South Africa",356,"Jack Brabham","Australia"
644,1970,"Spanish Grand Prix","Spain",328,"Jackie Stewart","UK"
645,1970,"Monaco Grand Prix","Monaco",358,"Jochen Rindt","Austria"
646,1970,"Belgian Grand Prix","Belgium",345,"Pedro Rodríguez","Mexican"
647,1970,"Dutch Grand Prix","Netherlands",358,"Jochen Rindt","Austria"
648,1970,"French Grand Prix","France",358,"Jochen Rindt","Austria"
649,1970,"British Grand Prix","UK",358,"Jochen Rindt","Austria"
650,1970,"German Grand Prix","Germany",358,"Jochen Rindt","Austria"
651,1970,"Austrian Grand Prix","Austria",235,"Jacky Ickx","Belgium"
652,1970,"Italian Grand Prix","Italy",223,"Clay Regazzoni","Switzerland"
653,1970,"Canadian Grand Prix","Canada",235,"Jacky Ickx","Belgium"
654,1970,"United States Grand Prix","USA",224,"Emerson Fittipaldi","Brazil"
655,1970,"Mexican Grand Prix","Mexico",235,"Jacky Ickx","Belgium"
632,1971,"South African Grand Prix","South Africa",207,"Mario Andretti","USA"
633,1971,"Spanish Grand Prix","Spain",328,"Jackie Stewart","UK"
634,1971,"Monaco Grand Prix","Monaco",328,"Jackie Stewart","UK"
635,1971,"Dutch Grand Prix","Netherlands",235,"Jacky Ickx","Belgium"
636,1971,"French Grand Prix","France",328,"Jackie Stewart","UK"
638,1971,"German Grand Prix","Germany",328,"Jackie Stewart","UK"
639,1971,"Austrian Grand Prix","Austria",346,"Jo Siffert","Switzerland"
640,1971,"Italian Grand Prix","Italy",320,"Peter Gethin","UK"
641,1971,"Canadian Grand Prix","Canada",328,"Jackie Stewart","UK"
642,1971,"United States Grand Prix","USA",327,"François Cevert","France"
620,1972,"Argentine Grand Prix","Argentina",328,"Jackie Stewart","UK"
621,1972,"South African Grand Prix","South Africa",304,"Denny Hulme","New Zealand"
622,1972,"Spanish Grand Prix","Spain",224,"Emerson Fittipaldi","Brazil"
623,1972,"Monaco Grand Prix","Monaco",306,"Jean-Pierre Beltoise","France"
624,1972,"Belgian Grand Prix","Belgium",224,"Emerson Fittipaldi","Brazil"
625,1972,"French Grand Prix","France",328,"Jackie Stewart","UK"
626,1972,"British Grand Prix","UK",224,"Emerson Fittipaldi","Brazil"
627,1972,"German Grand Prix","Germany",235,"Jacky Ickx","Belgium"
628,1972,"Austrian Grand Prix","Austria",224,"Emerson Fittipaldi","Brazil"
629,1972,"Italian Grand Prix","Italy",224,"Emerson Fittipaldi","Brazil"
630,1972,"Canadian Grand Prix","Canada",328,"Jackie Stewart","UK"
631,1972,"United States Grand Prix","USA",328,"Jackie Stewart","UK"
605,1973,"Argentine Grand Prix","Argentina",224,"Emerson Fittipaldi","Brazil"
607,1973,"South African Grand Prix","South Africa",328,"Jackie Stewart","UK"
608,1973,"Spanish Grand Prix","Spain",224,"Emerson Fittipaldi","Brazil"
609,1973,"Belgian Grand Prix","Belgium",328,"Jackie Stewart","UK"
610,1973,"Monaco Grand Prix","Monaco",328,"Jackie Stewart","UK"
611,1973,"Swedish Grand Prix","Sweden",304,"Denny Hulme","New Zealand"
612,1973,"French Grand Prix","France",238,"Ronnie Peterson","Sweden"
613,1973,"British Grand Prix","UK",309,"Peter Revson","USA"
614,1973,"Dutch Grand Prix","Netherlands",328,"Jackie Stewart","UK"
615,1973,"German Grand Prix","Germany",328,"Jackie Stewart","UK"
616,1973,"Austrian Grand Prix","Austria",238,"Ronnie Peterson","Sweden"
617,1973,"Italian Grand Prix","Italy",238,"Ronnie Peterson","Sweden"
618,1973,"Canadian Grand Prix","Canada",309,"Peter Revson","USA"
619,1973,"United States Grand Prix","USA",238,"Ronnie Peterson","Sweden"
590,1974,"Argentine Grand Prix","Argentina",304,"Denny Hulme","New Zealand"
592,1974,"South African Grand Prix","South Africa",199,"Carlos Reutemann","Argentina"
593,1974,"Spanish Grand Prix","Spain",182,"Niki Lauda","Austria"
594,1974,"Belgian Grand Prix","Belgium",224,"Emerson Fittipaldi","Brazil"
595,1974,"Monaco Grand Prix","Monaco",238,"Ronnie Peterson","Sweden"
596,1974,"Swedish Grand Prix","Sweden",222,"Jody Scheckter","South Africa"
597,1974,"Dutch Grand Prix","Netherlands",182,"Niki Lauda","Austria"
598,1974,"French Grand Prix","France",238,"Ronnie Peterson","Sweden"
599,1974,"British Grand Prix","UK",222,"Jody Scheckter","South Africa"
600,1974,"German Grand Prix","Germany",223,"Clay Regazzoni","Switzerland"
601,1974,"Austrian Grand Prix","Austria",199,"Carlos Reutemann","Argentina"
602,1974,"Italian Grand Prix","Italy",238,"Ronnie Peterson","Sweden"
603,1974,"Canadian Grand Prix","Canada",224,"Emerson Fittipaldi","Brazil"
604,1974,"United States Grand Prix","USA",199,"Carlos Reutemann","Argentina"
576,1975,"Argentine Grand Prix","Argentina",224,"Emerson Fittipaldi","Brazil"
579,1975,"Spanish Grand Prix","Spain",200,"Jochen Mass","Germany"
580,1975,"Monaco Grand Prix","Monaco",182,"Niki Lauda","Austria"
581,1975,"Belgian Grand Prix","Belgium",182,"Niki Lauda","Austria"
582,1975,"Swedish Grand Prix","Sweden",182,"Niki Lauda","Austria"
583,1975,"Dutch Grand Prix","Netherlands",231,"James Hunt","UK"
584,1975,"French Grand Prix","France",182,"Niki Lauda","Austria"
585,1975,"British Grand Prix","UK",224,"Emerson Fittipaldi","Brazil"
586,1975,"German Grand Prix","Germany",199,"Carlos Reutemann","Argentina"
587,1975,"Austrian Grand Prix","Austria",230,"Vittorio Brambilla","Italy"
588,1975,"Italian Grand Prix","Italy",223,"Clay Regazzoni","Switzerland"
589,1975,"United States Grand Prix","USA",182,"Niki Lauda","Austria"
560,1976,"Brazilian Grand Prix","Brazil",182,"Niki Lauda","Austria"
561,1976,"South African Grand Prix","South Africa",182,"Niki Lauda","Austria"
562,1976,"United States Grand Prix West","USA",223,"Clay Regazzoni","Switzerland"
563,1976,"Spanish Grand Prix","Spain",231,"James Hunt","UK"
564,1976,"Belgian Grand Prix","Belgium",182,"Niki Lauda","Austria"
565,1976,"Monaco Grand Prix","Monaco",182,"Niki Lauda","Austria"
566,1976,"Swedish Grand Prix","Sweden",222,"Jody Scheckter","South Africa"
567,1976,"French Grand Prix","France",231,"James Hunt","UK"
568,1976,"British Grand Prix","UK",182,"Niki Lauda","Austria"
569,1976,"German Grand Prix","Germany",231,"James Hunt","UK"
570,1976,"Austrian Grand Prix","Austria",187,"John Watson","UK"
571,1976,"Dutch Grand Prix","Netherlands",231,"James Hunt","UK"
572,1976,"Italian Grand Prix","Italy",238,"Ronnie Peterson","Sweden"
573,1976,"Canadian Grand Prix","Canada",231,"James Hunt","UK"
574,1976,"United States Grand Prix","USA",231,"James Hunt","UK"
575,1976,"Japanese Grand Prix","Japan",207,"Mario Andretti","USA"
543,1977,"Argentine Grand Prix","Argentina",222,"Jody Scheckter","South Africa"
544,1977,"Brazilian Grand Prix","Brazil",199,"Carlos Reutemann","Argentina"
545,1977,"South African Grand Prix","South Africa",182,"Niki Lauda","Austria"
547,1977,"Spanish Grand Prix","Spain",207,"Mario Andretti","USA"
548,1977,"Monaco Grand Prix","Monaco",222,"Jody Scheckter","South Africa"
549,1977,"Belgian Grand Prix","Belgium",255,"Gunnar Nilsson","Sweden"
550,1977,"Swedish Grand Prix","Sweden",172,"Jacques Laffite","France"
551,1977,"French Grand Prix","France",207,"Mario Andretti","USA"
553,1977,"German Grand Prix","Germany",182,"Niki Lauda","Austria"
554,1977,"Austrian Grand Prix","Austria",178,"Alan Jones","Australia"
555,1977,"Dutch Grand Prix","Netherlands",182,"Niki Lauda","Austria"
556,1977,"Italian Grand Prix","Italy",207,"Mario Andretti","USA"
557,1977,"United States Grand Prix","USA",231,"James Hunt","UK"
558,1977,"Canadian Grand Prix","Canada",222,"Jody Scheckter","South Africa"
559,1977,"Japanese Grand Prix","Japan",231,"James Hunt","UK"
527,1978,"Argentine Grand Prix","Argentina",207,"Mario Andretti","USA"
528,1978,"Brazilian Grand Prix","Brazil",199,"Carlos Reutemann","Argentina"
529,1978,"South African Grand Prix","South Africa",238,"Ronnie Peterson","Sweden"
530,1978,"United States Grand Prix West","USA",199,"Carlos Reutemann","Argentina"
531,1978,"Monaco Grand Prix","Monaco",221,"Patrick Depailler","France"
532,1978,"Belgian Grand Prix","Belgium",207,"Mario Andretti","USA"
533,1978,"Spanish Grand Prix","Spain",207,"Mario Andretti","USA"
534,1978,"Swedish Grand Prix","Sweden",182,"Niki Lauda","Austria"
535,1978,"French Grand Prix","France",207,"Mario Andretti","USA"
536,1978,"British Grand Prix","UK",199,"Carlos Reutemann","Argentina"
537,1978,"German Grand Prix","Germany",207,"Mario Andretti","USA"
538,1978,"Austrian Grand Prix","Austria",238,"Ronnie Peterson","Sweden"
539,1978,"Dutch Grand Prix","Netherlands",207,"Mario Andretti","USA"
540,1978,"Italian Grand Prix","Italy",182,"Niki Lauda","Austria"
541,1978,"United States Grand Prix","USA",199,"Carlos Reutemann","Argentina"
512,1979,"Argentine Grand Prix","Argentina",172,"Jacques Laffite","France"
513,1979,"Brazilian Grand Prix","Brazil",172,"Jacques Laffite","France"
514,1979,"South African Grand Prix","South Africa",203,"Gilles Villeneuve","Canada"
515,1979,"United States Grand Prix West","USA",203,"Gilles Villeneuve","Canada"
516,1979,"Spanish Grand Prix","Spain",221,"Patrick Depailler","France"
517,1979,"Belgian Grand Prix","Belgium",222,"Jody Scheckter","South Africa"
518,1979,"Monaco Grand Prix","Monaco",222,"Jody Scheckter","South Africa"
520,1979,"British Grand Prix","UK",223,"Clay Regazzoni","Switzerland"
521,1979,"German Grand Prix","Germany",178,"Alan Jones","Australia"
522,1979,"Austrian Grand Prix","Austria",178,"Alan Jones","Australia"
523,1979,"Dutch Grand Prix","Netherlands",178,"Alan Jones","Australia"
524,1979,"Italian Grand Prix","Italy",222,"Jody Scheckter","South Africa"
525,1979,"Canadian Grand Prix","Canada",178,"Alan Jones","Australia"
526,1979,"United States Grand Prix","USA",203,"Gilles Villeneuve","Canada"
498,1980,"Argentine Grand Prix","Argentina",178,"Alan Jones","Australia"
499,1980,"Brazilian Grand Prix","Brazil",163,"René Arnoux","France"
500,1980,"South African Grand Prix","South Africa",163,"René Arnoux","France"
501,1980,"United States Grand Prix West","USA",137,"Nelson Piquet","Brazil"
502,1980,"Belgian Grand Prix","Belgium",202,"Didier Pironi","France"
503,1980,"Monaco Grand Prix","Monaco",199,"Carlos Reutemann","Argentina"
504,1980,"French Grand Prix","France",178,"Alan Jones","Australia"
505,1980,"British Grand Prix","UK",178,"Alan Jones","Australia"
506,1980,"German Grand Prix","Germany",172,"Jacques Laffite","France"
507,1980,"Austrian Grand Prix","Austria",219,"Jean-Pierre Jabouille","France"
508,1980,"Dutch Grand Prix","Netherlands",137,"Nelson Piquet","Brazil"
509,1980,"Italian Grand Prix","Italy",137,"Nelson Piquet","Brazil"
510,1980,"Canadian Grand Prix","Canada",178,"Alan Jones","Australia"
511,1980,"United States Grand Prix","USA",178,"Alan Jones","Australia"
483,1981,"United States Grand Prix West","USA",178,"Alan Jones","Australia"
484,1981,"Brazilian Grand Prix","Brazil",199,"Carlos Reutemann","Argentina"
485,1981,"Argentine Grand Prix","Argentina",137,"Nelson Piquet","Brazil"
486,1981,"San Marino Grand Prix","Italy",137,"Nelson Piquet","Brazil"
487,1981,"Belgian Grand Prix","Belgium",199,"Carlos Reutemann","Argentina"
488,1981,"Monaco Grand Prix","Monaco",203,"Gilles Villeneuve","Canada"
489,1981,"Spanish Grand Prix","Spain",203,"Gilles Villeneuve","Canada"
492,1981,"German Grand Prix","Germany",137,"Nelson Piquet","Brazil"
493,1981,"Austrian Grand Prix","Austria",172,"Jacques Laffite","France"
494,1981,"Dutch Grand Prix","Netherlands",117,"Alain Prost","France"
495,1981,"Italian Grand Prix","Italy",117,"Alain Prost","France"
496,1981,"Canadian Grand Prix","Canada",172,"Jacques Laffite","France"
497,1981,"Caesars Palace Grand Prix","USA",178,"Alan Jones","Australia"
467,1982,"South African Grand Prix","South Africa",117,"Alain Prost","France"
468,1982,"Brazilian Grand Prix","Brazil",117,"Alain Prost","France"
469,1982,"United States Grand Prix West","USA",182,"Niki Lauda","Austria"
470,1982,"San Marino Grand Prix","Italy",202,"Didier Pironi","France"
471,1982,"Belgian Grand Prix","Belgium",187,"John Watson","UK"
472,1982,"Monaco Grand Prix","Monaco",119,"Riccardo Patrese","Italy"
473,1982,"Detroit Grand Prix","USA",187,"John Watson","UK"
474,1982,"Canadian Grand Prix","Canada",137,"Nelson Piquet","Brazil"
475,1982,"Dutch Grand Prix","Netherlands",202,"Didier Pironi","France"
476,1982,"British Grand Prix","UK",182,"Niki Lauda","Austria"
478,1982,"German Grand Prix","Germany",175,"Patrick Tambay","France"
479,1982,"Austrian Grand Prix","Austria",173,"Elio de Angelis","Italy"
480,1982,"Swiss Grand Prix","France",177,"Keke Rosberg","Finland"
481,1982,"Italian Grand Prix","Italy",163,"René Arnoux","France"
482,1982,"Caesars Palace Grand Prix","USA",105,"Michele Alboreto","Italy"
453,1983,"United States Grand Prix West","USA",187,"John Watson","UK"
455,1983,"San Marino Grand Prix","Italy",175,"Patrick Tambay","France"
456,1983,"Monaco Grand Prix","Monaco",177,"Keke Rosberg","Finland"
457,1983,"Belgian Grand Prix","Belgium",117,"Alain Prost","France"
458,1983,"Detroit Grand Prix","USA",105,"Michele Alboreto","Italy"
459,1983,"Canadian Grand Prix","Canada",163,"René Arnoux","France"
460,1983,"British Grand Prix","UK",117,"Alain Prost","France"
461,1983,"German Grand Prix","Germany",163,"René Arnoux","France"
462,1983,"Austrian Grand Prix","Austria",117,"Alain Prost","France"
463,1983,"Dutch Grand Prix","Netherlands",163,"René Arnoux","France"
464,1983,"Italian Grand Prix","Italy",137,"Nelson Piquet","Brazil"
465,1983,"European Grand Prix","UK",137,"Nelson Piquet","Brazil"
466,1983,"South African Grand Prix","South Africa",119,"Riccardo Patrese","Italy"
436,1984,"Brazilian Grand Prix","Brazil",117,"Alain Prost","France"
437,1984,"South African Grand Prix","South Africa",182,"Niki Lauda","Austria"
438,1984,"Belgian Grand Prix","Belgium",105,"Michele Alboreto","Italy"
439,1984,"San Marino Grand Prix","Italy",117,"Alain Prost","France"
440,1984,"French Grand Prix","France",182,"Niki Lauda","Austria"
441,1984,"Monaco Grand Prix","Monaco",117,"Alain Prost","France"
442,1984,"Canadian Grand Prix","Canada",137,"Nelson Piquet","Brazil"
443,1984,"Detroit Grand Prix","USA",137,"Nelson Piquet","Brazil"
444,1984,"Dallas Grand Prix","USA",177,"Keke Rosberg","Finland"
445,1984,"British Grand Prix","UK",182,"Niki Lauda","Austria"
446,1984,"German Grand Prix","Germany",117,"Alain Prost","France"
448,1984,"Dutch Grand Prix","Netherlands",117,"Alain Prost","France"
449,1984,"Italian Grand Prix","Italy",182,"Niki Lauda","Austria"
450,1984,"European Grand Prix","Germany",117,"Alain Prost","France"
451,1984,"Portuguese Grand Prix","Portugal",117,"Alain Prost","France"
420,1985,"Brazilian Grand Prix","Brazil",117,"Alain Prost","France"
421,1985,"Portuguese Grand Prix","Portugal",102,"Ayrton Senna","Brazil"
423,1985,"Monaco Grand Prix","Monaco",117,"Alain Prost","France"
424,1985,"Canadian Grand Prix","Canada",105,"Michele Alboreto","Italy"
425,1985,"Detroit Grand Prix","USA",177,"Keke Rosberg","Finland"
426,1985,"French Grand Prix","France",137,"Nelson Piquet","Brazil"
427,1985,"British Grand Prix","UK",117,"Alain Prost","France"
428,1985,"German Grand Prix","Germany",105,"Michele Alboreto","Italy"
429,1985,"Austrian Grand Prix","Austria",117,"Alain Prost","France"
430,1985,"Dutch Grand Prix","Netherlands",182,"Niki Lauda","Austria"
431,1985,"Italian Grand Prix","Italy",117,"Alain Prost","France"
432,1985,"Belgian Grand Prix","Belgium",102,"Ayrton Senna","Brazil"
434,1985,"South African Grand Prix","South Africa",95,"Nigel Mansell","UK"
435,1985,"Australian Grand Prix","Australia",177,"Keke Rosberg","Finland"
405,1986,"Spanish Grand Prix","Spain",102,"Ayrton Senna","Brazil"
406,1986,"San Marino Grand Prix","Italy",117,"Alain Prost","France"
407,1986,"Monaco Grand Prix","Monaco",117,"Alain Prost","France"
408,1986,"Belgian Grand Prix","Belgium",95,"Nigel Mansell","UK"
409,1986,"Canadian Grand Prix","Canada",95,"Nigel Mansell","UK"
410,1986,"Detroit Grand Prix","USA",102,"Ayrton Senna","Brazil"
